Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
9603_2gr.einkorn_4917_S1_Early_1x1_l_c,9603,Nikon,1x,1,2985,4917,,Early,S1,,Arch_New,l,c
9606_2gr.einkorn_1612_S1_Early_1x1_d_c,9606,Nikon,1x,1,345,1612,,Early,S1,,Arch_New,d,c
9607_2gr.einkorn_1612_S1_Early_1x1_l_c,9607,Nikon,1x,1,345,1612,,Early,S1,,Arch_New,l,c
9616_2S_GW_23203_S1_Early_1x1_d_c,9616,Nikon,1x,1,13253,23203,,Early,S1,,Arch_New,d,c
9617_2S_GW_23203_S1_Early_1x1_l_c,9617,Nikon,1x,1,13253,23203,,Early,S1,,Arch_New,l,c
9622_NotID_1664_S1_Early_1x1_d_c,9622,Nikon,1x,1,513,1664,,Early,S1,,Arch_New,d,c
9623_NotID_1664_S1_Early_1x1_l_c,9623,Nikon,1x,1,513,1664,,Early,S1,,Arch_New,l,c
9624_cf.New_14132_S1_Late_1x1_d_c,9624,Nikon,1x,1,7107,14132,,Late,S1,,Arch_New,d,c
9625_cf.New_14132_S1_Late_1x1_l_c,9625,Nikon,1x,1,7107,14132,,Late,S1,,Arch_New,l,c
9626_NotID_14132_S1_Late_1x1_d_c,9626,Nikon,1x,1,7107,14132,,Late,S1,,Arch_New,d,c
9627_NotID_14132_S1_Late_1x1_l_c,9627,Nikon,1x,1,7107,14132,,Late,S1,,Arch_New,l,c
9628_NotID_14132_S2_Late_1x1_d_c,9628,Nikon,1x,1,7107,14132,,Late,S2,,Arch_New,d,c
9629_NotID_14132_S2_Late_1x1_l_c,9629,Nikon,1x,1,7107,14132,,Late,S2,,Arch_New,l,c
9632_NotID_14132_S4_Late_1x1_d_c,9632,Nikon,1x,1,7107,14132,,Late,S4,,Arch_New,d,c
9633_NotID_14132_S4_Late_1x1_l_c,9633,Nikon,1x,1,7107,14132,,Late,S4,,Arch_New,l,c
9636_NotID_14132_S6_Late_1x1_d_c,9636,Nikon,1x,1,7107,14132,,Late,S6,,Arch_New,d,c
